U+7684	的	de,dī,dí,dì
U+79FB	移	yí
U+7EB3	纳	nà
U+515A	党	dǎng
U+7F62	罢	bà,ba
U+8170	腰	yāo
U+5DE7	巧	qiǎo
U+5B64	孤	gū
U+95ED	闭	bì
U+5706	圆	yuán
U+78B0	碰	pèng
U+955C	镜	jìng
U+8F6F	软	ruǎn
U+539A	厚	hòu
U+7D2F	累	léi,lěi,lèi
U+6628	昨	zuó
U+5E7D	幽	yōu
U+60B2	悲	bēi
U+4E08	丈	zhàng
U+724C	牌	pái
U+964D	降	jiàng,xiáng
U+989C	颜	yán
U+52B3	劳	láo
U+504F	偏	piān
U+7701	省	shěng,xǐng
U+7CCA	糊	hū,hú,hù
U+9986	馆	guǎn
U+70E7	烧	shāo
U+8C13	谓	wèi
U+8D22	财	cái
U+8230	舰	jiàn
U+6C57	汗	hán,hàn
U+5948	奈	nài
U+64CD	操	cāo
U+8FF9	迹	jì
U+5C38	尸	shī
U+6084	悄	qiāo,qiǎo
U+6B8B	残	cán
U+5C16	尖	jiān
U+9C81	鲁	lǔ
U+950B	锋	fēng
U+5708	圈	juān,juàn,quān
U+6CB9	油	yóu
U+4FE9	俩	liǎ,liǎng
U+9879	项	xiàng
U+649E	撞	zhuàng
U+77AC	瞬	shùn
U+5FC6	忆	yì
U+76D6	盖	gài,gě
U+5C24	尤	yóu
U+5F92	徒	tú
U+4E61	乡	xiāng
U+6982	概	gài
U+6237	户	hù
U+8361	荡	dàng
U+827A	艺	yì
U+589E	增	zēng
U+7956	祖	zǔ
U+56F0	困	kùn
U+6BBF	殿	diàn
U+8FC5	迅	xùn
U+6A2A	横	héng,hèng
U+8303	范	fàn
U+5F8B	律	lǜ
U+756A	番	fān,pān
U+4F01	企	qǐ
U+60E8	惨	cǎn
U+9650	限	xiàn
U+805A	聚	jù
U+542B	含	hán
U+51ED	凭	píng
U+5267	剧	jù
U+788E	碎	suì
U+8EBA	躺	tǎng
U+7F18	缘	yuán
U+51C9	凉	liáng,liàng
U+817E	腾	téng
U+7EC7	织	zhī
U+62A2	抢	qiāng,qiǎng
U+9884	预	yù
U+6C88	沈	shěn
U+66FF	替	tì
U+5B54	孔	kǒng
U+6279	批	pī
U+5EB7	康	kāng
U+60D1	惑	huò
U+552F	唯	wéi
U+7387	率	lǜ,shuài
U+60EF	惯	guàn
U+767B	登	dēng
U+4E92	互	hù
U+76EF	盯	dīng
U+7A0D	稍	shāo,shào
U+5BA3	宣	xuān
U+5531	唱	chàng
U+8BDA	诚	chéng
U+5269	剩	shèng
U+54AC	咬	yǎo
U+80B2	育	yù
U+8BF8	诸	zhū
U+89E6	触	chù
U+6668	晨	chén
U+7B56	策	cè
U+75BC	疼	téng
U+6F2B	漫	màn
U+6750	材	cái
U+8865	补	bǔ
U+79C1	私	sī
U+5410	吐	tǔ,tù
U+7EAF	纯	chún
U+827E	艾	ài,yì
U+8D1D	贝	bèi
U+8C37	谷	gǔ
U+5EAD	庭	tíng
U+6321	挡	dǎng,dàng
U+6643	晃	huǎng,huàng
U+5409	吉	jí
U+5439	吹	chuī
U+4ED4	仔	zǎi,zǐ
U+4EC7	仇	chóu,qiú
U+51DD	凝	níng
U+9F13	鼓	gǔ
U+519C	农	nóng
U+5E2D	席	xí
U+5F81	征	zhēng
U+5E05	帅	shuài
U+9644	附	fù
U+7F3A	缺	quē
U+585E	塞	sāi,sài,sè
U+8C6A	豪	háo
U+4EA6	亦	yì
U+675C	杜	dù
U+52AA	努	nǔ
U+5224	判	pàn
U+8C0B	谋	móu
U+80C6	胆	dǎn
U+5C18	尘	chén
U+624E	扎	zā,zhā,zhá
U+6EDA	滚	gǔn
U+95F7	闷	mēn,mèn
U+8FDF	迟	chí
U+7A33	稳	wěn
U+7FFC	翼	yì
U+8BFA	诺	nuò
U+95F2	闲	xián
U+7070	灰	huī
U+6735	朵	duǒ
U+76DB	盛	chéng,shèng
U+6881	梁	liáng
U+6676	晶	jīng
U+9910	餐	cān
U+7206	爆	bào
U+4F26	伦	lún
U+5A07	娇	jiāo
U+4FA7	侧	cè
U+6123	愣	lèng
U+9F3B	鼻	bí
U+8F6E	轮	lún
U+660F	昏	hūn
U+6296	抖	dǒu
U+9677	陷	xiàn
U+654F	敏	mǐn
U+8BCD	词	cí
U+614C	慌	huāng
U+6124	愤	fèn
U+601C	怜	lián
U+98A4	颤	chàn
U+9636	阶	jiē
U+82CD	苍	cāng
U+8DDD	距	jù
U+90D1	郑	zhèng
U+5DDD	川	chuān
U+626B	扫	sǎo,sào
U+903C	逼	bī
U+53BF	县	xiàn
U+5FE7	忧	yōu
U+7AE5	童	tóng
U+6267	执	zhí
U+4E22	丢	diū
U+8363	荣	róng
U+81C2	臂	bei,bì
U+9010	逐	zhú
U+50B2	傲	ào
U+6234	戴	dài
U+8292	芒	máng
U+5E86	庆	qìng
U+4F34	伴	bàn
U+88AD	袭	xí
U+4F9B	供	gōng,gòng
U+79EF	积	jī
U+6D4B	测	cè
U+9065	遥	yáo
U+963B	阻	zǔ
U+4F8B	例	lì
U+7741	睁	zhēng
U+5C9B	岛	dǎo
U+9057	遗	yí
U+77AA	瞪	dèng
U+6155	慕	mù
U+76B1	皱	zhòu
U+535A	博	bó
U+5E55	幕	mù
U+731C	猜	cāi
U+76CA	益	yì
U+51C0	净	jìng
U+6CFD	泽	zé
U+70BC	炼	liàn
U+76D1	监	jiān,jiàn
U+9E21	鸡	jī
U+73CD	珍	zhēn
U+4F0F	伏	fú
U+7ECD	绍	shào
U+66F9	曹	cáo
U+722C	爬	pá
U+4E2B	丫	yā
U+70B8	炸	zhá,zhà
U+58C1	壁	bì
U+6D8C	涌	chōng,yǒng
U+51F6	凶	xiōng
U+90CE	郎	láng,làng
U+5BBF	宿	sù,xiǔ,xiù
U+6028	怨	yuàn
U+9189	醉	zuì
U+62FC	拼	pīn
U+8FEB	迫	pǎi,pò
U+9769	革	gé
U+77A7	瞧	qiáo
U+5965	奥	ào
U+8F93	输	shū
U+8389	莉	lì
U+5FE0	忠	zhōng
U+9897	颗	kē
U+55EF	嗯	ńg,ňg,ǹg
U+4F73	佳	jiā
U+65C5	旅	lǚ
U+4EC1	仁	rén
U+9E1F	鸟	niǎo
U+9A97	骗	piàn
U+6D69	浩	hào
U+5854	塔	tǎ
U+80D6	胖	pán,pàng
U+7EEA	绪	xù
U+67AB	枫	fēng
U+62D4	拔	bá
U+8D5E	赞	zàn
U+70AE	炮	bāo,páo,pào
U+5085	傅	fù
U+51EF	凯	kǎi
U+90AA	邪	xié
U+82B3	芳	fāng
U+6D51	浑	hún
U+593A	夺	duó
U+5BBD	宽	kuān
U+5806	堆	duī
U+88C2	裂	liè
U+906D	遭	zāo
U+8D64	赤	chì
U+65CB	旋	xuán,xuàn
U+626D	扭	niǔ
U+6D01	洁	jié
U+6D6E	浮	fú
U+6089	悉	xī
U+64E6	擦	cā
U+6167	慧	huì
U+5178	典	diǎn
U+8D4F	赏	shǎng
U+5306	匆	cōng
U+8BC4	评	píng
U+7EB5	纵	zòng
U+83B2	莲	lián
U+96FE	雾	wù
U+4E4C	乌	wū
U+8DC3	跃	yuè
U+58EE	壮	zhuàng
U+8D34	贴	tiē
U+4E30	丰	fēng
U+9694	隔	gé
U+5065	健	jiàn
U+8F9B	辛	xīn
U+62B5	抵	dǐ
U+7AF9	竹	zhú
U+5F7B	彻	chè
U+6469	摩	mā,mó
U+8F70	轰	hōng
U+7F16	编	biān
U+809A	肚	dǔ,dù
U+63D2	插	chā
U+78E8	磨	mó,mò
U+54CE	哎	āi
U+5FA1	御	yù
U+8010	耐	nài
U+60E7	惧	jù
U+6C0F	氏	shì,zhī
U+8F89	辉	huī
U+6276	扶	fú
U+6062	恢	huī
U+8C8C	貌	mào
U+989D	额	é
U+8FF0	述	shù
U+7968	票	piào
U+5F55	录	lù
U+62D6	拖	tuō
U+8180	膀	bǎng,pāng,páng
U+9E70	鹰	yīng
U+5B5F	孟	mèng
U+9012	递	dì
U+745E	瑞	ruì
U+5507	唇	chún
U+6682	暂	zàn
U+8D27	货	huò
U+7434	琴	qín
U+8E2A	踪	zōng
U+7801	码	mǎ
U+6170	慰	wèi
U+86C7	蛇	shé
U+73B2	玲	líng
U+6655	晕	yūn,yùn
U+635F	损	sǔn
U+8F69	轩	xuān
U+7C97	粗	cū
U+63A9	掩	yǎn
U+5C41	屁	pì
U+60A0	悠	yōu
U+4EF0	仰	yǎng
U+96F6	零	líng
U+76DF	盟	méng
U+9014	途	tú
U+8D3C	贼	zéi
U+6D2A	洪	hóng
U+609F	悟	wù
U+56FA	固	gù
U+8BB6	讶	yà
U+51AC	冬	dōng
U+6ED1	滑	huá
U+751C	甜	tián
U+90C1	郁	yù
U+7433	琳	lín
U+8F86	辆	liàng
U+4E43	乃	nǎi
U+732A	猪	zhū
U+6696	暖	nuǎn
U+59AE	妮	nī
U+6323	挣	zhēng,zhèng
U+65E6	旦	dàn
U+4F30	估	gū,gù
U+5766	坦	tǎn
U+7518	甘	gān
U+4F69	佩	pèi
U+83B1	莱	lái
U+4EAB	享	xiǎng
U+543C	吼	hǒu
U+6784	构	gòu
U+7C89	粉	fěn
U+8428	萨	sà
U+543B	吻	wěn
U+6F5C	潜	qián
U+74F6	瓶	píng
U+5076	偶	ǒu
U+6212	戒	jiè
U+6D53	浓	nóng
U+6BC1	毁	huǐ
U+9500	销	xiāo
U+8FEA	迪	dí
U+62D2	拒	jù
U+7ED5	绕	rào
U+52D2	勒	lè,lēi
U+6717	朗	lǎng
U+563B	嘻	xī
U+5C3E	尾	wěi,yǐ
U+5E10	帐	zhàng
U+5E9F	废	fèi
U+5EF6	延	yán
U+6572	敲	qiāo
U+70C2	烂	làn
U+66FC	曼	màn
U+538C	厌	yàn
U+5B9C	宜	yí
U+7F9E	羞	xiū
U+5582	喂	wèi
U+541F	吟	yín
U+6EF4	滴	dī
U+6D32	洲	zhōu
U+7239	爹	diē
U+8273	艳	yàn
U+6674	晴	qíng
U+629A	抚	fǔ
U+7F29	缩	sù,suō
U+534F	协	xié
U+592E	央	yāng
U+6094	悔	huǐ
U+8096	肖	xiāo,xiào
U+7F20	缠	chán
U+8106	脆	cuì
U+75D5	痕	hén
U+4F0D	伍	wǔ
U+5BC2	寂	jì
U+542F	启	qǐ
U+7FD4	翔	xiáng
U+8584	薄	báo,bó,bò
U+4FAF	侯	hóu,hòu
U+529D	劝	quàn
U+90ED	郭	guō
U+5974	奴	nú
U+9E23	鸣	míng
U+503E	倾	qīng
U+5F7C	彼	bǐ
U+6254	扔	rēng
U+6492	撒	sā,sǎ
U+8C6B	豫	yù
U+68C0	检	jiǎn
U+9488	针	zhēn
U+8000	耀	yào
U+75F4	痴	chī
U+59C6	姆	mǔ
U+7BC7	篇	piān
U+6905	椅	yī,yǐ
U+5382	厂	chǎng
U+8463	董	dǒng
U+718A	熊	xióng
U+57CB	埋	mái,mán
U+4E56	乖	guāi
U+72D0	狐	hú
U+848B	蒋	jiǎng
U+8E0F	踏	tā,tà
U+9686	隆	lóng
U+62EC	括	kuò
U+6F6E	潮	cháo
U+5509	唉	āi,ài
U+7A77	穷	qióng
U+806A	聪	cōng
U+5524	唤	huàn
U+6CF0	泰	tài
U+7248	版	bǎn
U+672B	末	mò
U+65D7	旗	qí
U+4EEA	仪	yí
U+7126	焦	jiāo
U+732B	猫	māo
U+76D7	盗	dào
U+4F8D	侍	shì
U+6324	挤	jǐ
U+6B3E	款	kuǎn
U+62FE	拾	shè,shí
U+8352	荒	huāng
U+59FF	姿	zī
U+57DF	域	yù
U+642D	搭	dā
U+8109	脉	mài,mò
U+6388	授	shòu
U+4FD7	俗	sú
U+878D	融	róng
U+72F1	狱	yù
U+6B3A	欺	qī
U+8BBF	访	fǎng
U+6865	桥	qiáo
U+9501	锁	suǒ
U+9738	霸	bà
U+7275	牵	qiān
U+6C60	池	chí
U+94BB	钻	zuān,zuàn
U+6E2F	港	gǎng
U+5583	喃	nán
U+5EF7	廷	tíng
U+4E58	乘	chéng
U+739B	玛	mǎ
U+5949	奉	fèng
U+626F	扯	chě
U+5CB3	岳	yuè
U+51CF	减	jiǎn
U+5F2F	弯	wān
U+5939	夹	gā,jiā,jiá
U+8F9E	辞	cí
U+5CB8	岸	àn
U+5C82	岂	qǐ
U+5C48	屈	qū
U+607C	恼	nǎo
U+54F2	哲	zhé
U+5B63	季	jì
U+53EC	召	shào,zhào
U+4E27	丧	sāng,sàng
U+5C1D	尝	cháng
U+606D	恭	gōng
U+8F7D	载	zǎi,zài
U+7626	瘦	shòu
U+7686	皆	jiē
U+9887	颇	pō
U+832B	茫	máng
U+67D3	染	rǎn
U+8083	肃	sù
U+723D	爽	shuǎng
U+4E8F	亏	kuī
U+541E	吞	tūn
U+60F9	惹	rě
U+54C0	哀	āi
U+4E54	乔	qiáo
U+8D81	趁	chèn
U+94FA	铺	pū,pù
U+810F	脏	zāng,zàng
U+5415	吕	lǚ
U+5956	奖	jiǎng
U+500D	倍	bèi
U+6C64	汤	tāng
U+632F	振	zhèn
U+5A77	婷	tíng
U+7262	牢	láo
U+6270	扰	rǎo
U+6E9C	溜	liū,liù
U+5E9E	庞	páng
U+81ED	臭	chòu,xiù
U+60A6	悦	yuè
U+8D6B	赫	hè
U+8D62	赢	yíng
U+8DEA	跪	guì
U+9EA6	麦	mài
U+679D	枝	zhī
U+4FA0	侠	xiá
U+6CC9	泉	quán
U+52AB	劫	jié
U+708E	炎	yán
U+6CE5	泥	ní,nì
U+8D4C	赌	dǔ
U+5F13	弓	gōng
U+9B4F	魏	wèi
U+7F69	罩	zhào
U+75BE	疾	jí
U+9970	饰	shì
U+7B26	符	fú
U+5782	垂	chuí
U+6620	映	yìng
U+6F20	漠	mò
U+8116	脖	bó
U+996E	饮	yǐn,yìn
U+6CBF	沿	yán
U+61D2	懒	lǎn
U+80A4	肤	fū
U+6851	桑	sāng
U+582A	堪	kān
U+71C3	燃	rán
U+5353	卓	zhuó
U+795D	祝	zhù
U+8D56	赖	lài
U+5BBE	宾	bīn
U+8D3E	贾	gǔ,jiǎ
U+5598	喘	chuǎn
U+7130	焰	yàn
U+5435	吵	chāo,chǎo
U+51A5	冥	míng
U+978B	鞋	xié
U+9038	逸	yì
U+5747	均	jūn
U+5E93	库	kù
U+88E4	裤	kù
U+7897	碗	wǎn
U+822A	航	háng
U+8E22	踢	tī
U+59E8	姨	yí
U+9178	酸	suān
U+5578	啸	xiào
U+9F84	龄	líng
U+9601	阁	gé
U+820C	舌	shé
U+7BB1	箱	xiāng
U+51AF	冯	féng
U+90A6	邦	bāng
U+94A2	钢	gāng,gàng
U+971E	霞	xiá
U+4FC3	促	cù
U+6CE1	泡	pāo,pào
U+76FE	盾	dùn
U+7F8A	羊	yáng
U+78A7	碧	bì
U+63F4	援	yuán
U+5FCC	忌	jì
U+62B9	抹	mā,mǒ,mò
U+5029	倩	qiàn
U+9510	锐	ruì
U+55B7	喷	pēn,pèn
U+62E6	拦	lán
U+5609	嘉	jiā
U+8896	袖	xiù
U+6B8A	殊	shū
U+8FB0	辰	chén
U+7E41	繁	fán,pó
U+7EDC	络	lào,luò
U+629B	抛	pāo
U+5AC1	嫁	jià
U+5492	咒	zhòu
U+64A4	撤	chè
U+952E	键	jiàn
U+6E7F	湿	shī
U+6070	恰	qià
U+866B	虫	chóng
U+5BA1	审	shěn
U+732E	献	xiàn
U+5A9A	媚	mèi
U+8D24	贤	xián
U+845B	葛	gé,gě
U+5239	刹	chà,shā
U+8881	袁	yuán
U+6454	摔	shuāi
U+5E8F	序	xù
U+7B51	筑	zhù
U+659C	斜	xié
U+74E6	瓦	wǎ,wà
U+6D82	涂	tú
U+6E7E	湾	wān
U+838E	莎	shā,suō
U+5D07	崇	chóng
U+730E	猎	liè
U+5211	刑	xíng
U+58A8	墨	mò
U+5A03	娃	wá
U+68AF	梯	tī
U+6843	桃	táo
U+8C46	豆	dòu
U+9A7E	驾	jià
U+6D45	浅	qiǎn
U+5F84	径	jìng
U+997F	饿	è
U+75B2	疲	pí
U+642C	搬	bān
U+74DC	瓜	guā
U+83B9	莹	yíng
U+6ECB	滋	zī
U+6DA6	润	rùn
U+94C3	铃	líng
U+86EE	蛮	mán
U+8482	蒂	dì
U+62E8	拨	bō
U+6D9B	涛	tāo
U+4E88	予	yú,yǔ
U+52FE	勾	gōu,gòu
U+60E0	惠	huì
U+6790	析	xī
U+780D	砍	kǎn
U+6491	撑	chēng
U+622A	截	jié
U+63AA	措	cuò
U+5E01	币	bì
U+8587	薇	wēi
U+6108	愈	yù
U+7763	督	dū
U+9177	酷	kù
U+7965	祥	xiáng
U+6016	怖	bù
U+4FB5	侵	qīn
U+5CA9	岩	yán
U+626E	扮	bàn
U+7CDF	糟	zāo
U+76C8	盈	yíng
U+8179	腹	fù
U+65A9	斩	zhǎn
U+5C3A	尺	chě,chǐ
U+7B7E	签	qiān
U+7A00	稀	xī
U+638F	掏	tāo
U+5938	夸	kuā
U+6C7D	汽	qì
U+6DB2	液	yè
U+59EC	姬	jī
U+6127	愧	kuì
U+6C47	汇	huì
U+67F1	柱	zhù
U+7CAE	粮	liáng
U+5821	堡	bǎo,bǔ,pù
U+4ED7	仗	zhàng
U+7B28	笨	bèn
U+594F	奏	zòu
U+6B49	歉	qiàn
U+7529	甩	shuǎi
U+6014	怔	zhèng
U+5141	允	yǔn
U+7ADE	竞	jìng
U+7978	祸	huò
U+8036	耶	yē,yé
U+7235	爵	jué
U+7EE9	绩	jì
U+8BF1	诱	yòu
U+545C	呜	wū
U+7A74	穴	xué
U+9ECE	黎	lí
U+79DF	租	zū
U+57F9	培	péi
U+7838	砸	zá
U+9EBD	麽	mó
U+4E95	井	jǐng
U+7A9D	窝	wō
U+5F25	弥	mí
U+8FD4	返	fǎn
U+5339	匹	pǐ
U+5565	啥	shá
U+51D1	凑	còu
U+5978	奸	jiān
U+964C	陌	mò
U+53DB	叛	pàn
U+6838	核	hé,hú
U+5367	卧	wò
U+5E45	幅	fú
U+7728	眨	zhǎ
U+8017	耗	hào
U+6D12	洒	sǎ
U+6021	怡	yí
U+8BE6	详	xiáng
U+5362	卢	lú
U+6263	扣	kòu
U+54C7	哇	wā,wa
U+4E11	丑	chǒu
U+52C9	勉	miǎn
U+5B5D	孝	xiào
U+77DB	矛	máo
U+6C1B	氛	fēn
U+8861	衡	héng
U+9676	陶	táo
U+8D2D	购	gòu
U+6C6A	汪	wāng
U+50F5	僵	jiāng
U+7597	疗	liáo
U+5983	妃	fēi
U+7F5A	罚	fá
U+68CB	棋	qí
U+7F1D	缝	féng,fèng
U+5490	咐	fù
U+8EAF	躯	qū
U+6CDB	泛	fàn
U+6101	愁	chóu
U+641C	搜	sōu
U+6148	慈	cí
U+80A5	肥	féi
U+7B3C	笼	lóng,lǒng
U+7BEE	篮	lán
U+4FF1	俱	jū,jù
U+60DF	惟	wéi
U+67DC	柜	guì,jǔ
U+6349	捉	zhuō
U+60AC	悬	xuán
U+970D	霍	huò
U+6CC4	泄	xiè
U+54BD	咽	yān,yàn,yè
U+9F7F	齿	chǐ
U+79D2	秒	miǎo
U+52E4	勤	qín
U+6269	扩	kuò
U+5C4F	屏	bǐng,píng
U+971C	霜	shuāng
U+888D	袍	páo
U+8776	蝶	dié
U+796D	祭	jì,zhài
U+53A8	厨	chú
U+80C1	胁	xié
U+7483	璃	lí
U+5288	劈	pī,pǐ
U+8D5A	赚	zhuàn
U+9526	锦	jǐn
U+5C2C	尬	gà
U+5C34	尴	gān
U+7199	熙	xī
U+5BFA	寺	sì
U+660C	昌	chāng
U+8D3A	贺	hè
U+5DFE	巾	jīn
U+63CF	描	miáo
U+6355	捕	bǔ
U+9675	陵	líng
U+54B3	咳	hāi,ké
U+6247	扇	shān,shàn
U+8679	虹	hóng,jiàng
U+7EF5	绵	mián
U+6495	撕	sī
U+8521	蔡	cài
U+50AC	催	cuī
U+5F6D	彭	péng
U+5BA0	宠	chǒng
U+8D2A	贪	tān
U+8FB1	辱	rǔ
U+8A93	誓	shì
U+76D2	盒	hé
U+5BF8	寸	cùn
U+62AB	披	pī
U+6402	搂	lōu,lǒu
U+9976	饶	ráo
U+8DCC	跌	diē
U+6B20	欠	qiàn
U+808C	肌	jī
U+552E	售	shòu
U+5DE1	巡	xún
U+6291	抑	yì
U+7EB9	纹	wén
U+5B8F	宏	hóng
U+5E7C	幼	yòu
U+840D	萍	píng
U+9A7B	驻	zhù
U+4E1B	丛	cóng
U+4EBF	亿	yì
U+64AD	播	bō
U+4FC4	俄	é
U+5203	刃	rèn
U+857E	蕾	lěi
U+6328	挨	āi,ái
U+4EF2	仲	zhòng
U+8FC8	迈	mài
U+8FDD	违	wéi
U+8FA9	辩	biàn
U+57C3	埃	āi
U+8258	艘	sōu
U+742A	琪	qí
U+707E	灾	zāi
U+50E7	僧	sēng
U+6E21	渡	dù
U+5351	卑	bēi
U+96D5	雕	diāo
U+9F20	鼠	shǔ
U+8BAF	讯	xùn
U+8FA3	辣	là
U+5237	刷	shuā,shuà
U+8270	艰	jiān
U+65A5	斥	chì
U+88D9	裙	qún
U+7FE0	翠	cuì
U+9971	饱	bǎo
U+63A0	掠	lüè
U+8BE2	询	xún
U+52C3	勃	bó
U+5915	夕	xī
U+77EE	矮	ǎi
U+7476	瑶	yáo
U+8D50	赐	cì
U+634F	捏	niē
U+95EF	闯	chuǎng
U+59DA	姚	yáo
U+745F	瑟	sè
U+6E34	渴	kě
U+8C05	谅	liàng
U+6602	昂	áng
U+4E32	串	chuàn
U+6C9F	沟	gōu
U+6D89	涉	shè
U+5495	咕	gū
U+9A76	驶	shǐ
U+6444	摄	shè
U+8D2B	贫	pín
U+8F95	辕	yuán
U+5A49	婉	wǎn
U+9E4F	鹏	péng
U+59DC	姜	jiāng
U+788D	碍	ài
U+8377	荷	hé,hè
U+51A0	冠	guān,guàn
U+9B45	魅	mèi
U+73AB	玫	méi
U+88C1	裁	cái
U+5761	坡	pō
U+9E3F	鸿	hóng
U+9093	邓	dèng
U+6B6A	歪	wāi
U+4E4F	乏	fá
U+7533	申	shēn
U+5272	割	gē
U+5DEB	巫	wū
U+886B	衫	shān
U+68D2	棒	bàng
U+9614	阔	kuò
U+6CE3	泣	qì
U+97E6	韦	wéi
U+604D	恍	huǎng
U+8D2F	贯	guàn
U+9B44	魄	pò
U+67C4	柄	bǐng
U+60A3	患	huàn
U+8986	覆	fù
U+871C	蜜	mì
U+5A74	婴	yīng
U+52B1	励	lì
U+9505	锅	guō
U+965B	陛	bì
U+906E	遮	zhē
U+5E15	帕	pà
U+5496	咖	gā,kā
U+5ACC	嫌	xián
U+80F3	胳	gē,gé
U+6316	挖	wā
U+556A	啪	pā
U+77FF	矿	kuàng
U+51C4	凄	qī
U+722A	爪	zhǎo,zhuǎ
U+7720	眠	mián
U+7A46	穆	mù
U+5561	啡	fēi
U+543E	吾	wú
U+575B	坛	tán
U+813E	脾	pí
U+6052	恒	héng
U+5C60	屠	tú
U+73BB	玻	bō
U+84C9	蓉	róng
U+7840	础	chǔ
U+66F0	曰	yuē
U+8038	耸	sǒng
U+818A	膊	bó
U+9006	逆	nì
U+5BFF	寿	shòu
U+9A71	驱	qū
U+7334	猴	hóu
U+4F63	佣	yōng,yòng
U+6BC5	毅	yì
U+8205	舅	jiù
U+94DC	铜	tóng
U+5A1F	娟	juān
U+772F	眯	mī,mí
U+6DEB	淫	yín
U+5429	吩	fēn
U+532A	匪	fěi
U+7267	牧	mù
U+5F79	役	yì
U+5BC4	寄	jì
U+8BE1	诡	guǐ
U+7EA4	纤	qiàn,xiān
U+8150	腐	fǔ
U+59FB	姻	yīn
U+6670	晰	xī
U+6E0A	渊	yuān
U+4EAD	亭	tíng
U+9080	邀	yāo
U+54C4	哄	hōng,hǒng,hòng
U+9A9A	骚	sāo
U+5893	墓	mù
U+67EF	柯	kē
U+7B4B	筋	jīn
U+5D14	崔	cuī
U+707F	灿	càn
U+6377	捷	jié
U+6DCB	淋	lín,lìn
U+5F17	弗	fú
U+8F91	辑	jí
U+68CD	棍	gùn
U+7EF3	绳	shéng
U+9891	频	pín
U+5ECA	廊	láng
U+754F	畏	wèi
U+6B47	歇	xiē
U+88F9	裹	guǒ
U+82D7	苗	miáo
U+76FC	盼	pàn
U+54AF	咯	gē,kǎ,lo,luò
U+800D	耍	shuǎ
U+715E	煞	shā,shà
U+5BDD	寝	qǐn
U+7792	瞒	mán
U+6DFB	添	tiān
U+5AC2	嫂	sǎo
U+7EA0	纠	jiū
U+6168	慨	kǎi
U+56B7	嚷	rāng,rǎng
U+9A70	驰	chí
U+62D0	拐	guǎi
U+5BB4	宴	yàn
U+6D25	津	jīn
U+5C9A	岚	lán
U+6D74	浴	yù
U+803B	耻	chǐ
U+633D	挽	wǎn
U+9875	页	yè
U+8A89	誉	yù
U+7272	牲	shēng
U+4E73	乳	rǔ
U+4ED3	仓	cāng
U+901D	逝	shì
U+5589	喉	hóu
U+901B	逛	guàng
U+6A31	樱	yīng
U+517C	兼	jiān
U+6208	戈	gē
U+54D7	哗	huā,huá
U+6DAF	涯	yá
U+6367	捧	pěng
U+94ED	铭	míng
U+969C	障	zhàng
U+644A	摊	tān
U+8DE8	跨	kuà
U+59A5	妥	tuǒ
U+63C9	揉	róu
U+664B	晋	jìn
U+5BDE	寞	mò
U+5BE8	寨	zhài
U+6F06	漆	qī
U+6C61	污	wū
U+5632	嘲	cháo
U+679A	枚	méi
U+540A	吊	diào
U+4E7E	乾	qián
U+99A8	馨	xīn
U+4F2A	伪	wěi
U+55D3	嗓	sǎng
U+5448	呈	chéng
U+537F	卿	qīng
U+6960	楠	nán
U+7C4D	籍	jí
U+88F8	裸	luǒ
U+94FE	链	liàn
U+704C	灌	guàn
U+6606	昆	kūn
U+7545	畅	chàng
U+900D	逍	xiāo
U+5E3D	帽	mào
U+9605	阅	yuè
U+9017	逗	dòu
U+8E72	蹲	dūn
U+8E29	踩	cǎi
U+7A9C	窜	cuàn
U+54D1	哑	yā,yǎ
U+8DB4	趴	pā
U+9022	逢	féng
U+690D	植	zhí
U+5A92	媒	méi
U+97F5	韵	yùn
U+662D	昭	zhāo
U+5C39	尹	yǐn
U+8C26	谦	qiān
U+6863	档	dàng
U+8D9F	趟	tàng
U+6CBE	沾	zhān
U+5154	兔	tù
U+8BA2	订	dìng
U+6734	朴	piáo,pò,pǔ
U+778E	瞎	xiā
U+97AD	鞭	biān
U+4FFA	俺	ǎn
U+65A4	斤	jīn
U+7FC5	翅	chì
U+80A0	肠	cháng
U+96C0	雀	qiāo,qiǎo,què
U+614E	慎	shèn
U+76C6	盆	pén
U+8FC1	迁	qiān
U+9556	镖	biāo
U+82AC	芬	fēn
U+5D16	崖	yá
U+4E18	丘	qiū
U+8822	蠢	chǔn
U+5E99	庙	miào
U+6F58	潘	pān
U+9896	颖	yǐng
U+62D3	拓	tà,tuò
U+5A36	娶	qǔ
U+7EB1	纱	shā
U+6F0F	漏	lòu
U+8C28	谨	jǐn
U+73CA	珊	shān
U+4EC6	仆	pū,pú
U+5B99	宙	zhòu
U+5C09	尉	wèi,yù
U+5C51	屑	xiè
U+53EE	叮	dīng
U+6342	捂	wǔ
U+6DA9	涩	sè
U+8BE7	诧	chà
U+67F4	柴	chái
U+6746	杆	gān,gǎn
U+6DB5	涵	hán
U+5760	坠	zhuì
U+8D54	赔	péi
U+6DA8	涨	zhǎng,zhàng
U+561F	嘟	dū
U+5D29	崩	bēng
U+859B	薛	xuē
U+85E4	藤	téng
U+7A0E	税	shuì
U+67AF	枯	kū
U+8BD1	译	yì
U+5E18	帘	lián
U+7CD6	糖	táng
U+6109	愉	yú
U+9A84	骄	jiāo
U+7FA1	羡	xiàn
U+7CD5	糕	gāo
U+5F6C	彬	bīn
U+611A	愚	yú
