U+4E07	万
U+66CB	曋
U+66C7	曇
U+66CF	曏
U+66D2	曒
U+66DC	曜
U+66DA	曚
U+66DB	曛
U+66E8	曨
U+66E3	曣
U+66E9	曩
U+66ED	曭
U+66EE	曮
U+66F6	曶
U+6701	朁
U+6705	朅
U+6704	朄
U+670F	朏
U+6710	朐
U+6712	朒
U+6713	朓
U+6718	朘
U+6722	朢
U+6723	朣
U+673E	朾
U+6739	朹
U+6738	朸
U+673B	朻
U+673A	机
U+673F	朿
U+673C	朼
U+6746	杆
U+6745	杅
U+6747	杇
U+6760	杠
U+6759	杙
U+6755	杕
U+674C	杌
U+6748	杈
U+675D	杝
U+6753	杓
U+6757	杗
U+6793	枓
U+6785	枅
U+676C	杬
U+678E	枎
U+6792	枒
U+6776	杶
U+677C	杼
U+677B	杻
U+676A	杪
U+6798	枘
U+6786	枆
U+6784	构
U+6774	杴
U+678D	枍
U+678C	枌
U+6772	杲
U+67C1	柁
U+67F2	柲
U+67C8	柈
U+67B0	枰
U+67BA	枺
U+67DC	柜
U+67BB	枻
U+67F8	柸
U+67D8	柘
U+67C0	柀
U+67B7	枷
U+67C5	柅
U+67EB	柫
U+67E4	柤
U+67DF	柟
U+67B5	枵
U+67D9	柙
U+67CD	柍
U+67B3	枳
U+67F7	柷
U+67F6	柶
U+67EE	柮
U+67E3	柣
U+67C2	柂
U+67B9	枹
U+67CE	柎
U+67E2	柢
U+67DD	柝
U+67E7	柧
U+67D2	柒
U+67F0	柰
U+67B2	枲
U+681F	栟
U+681A	栚
U+6849	桉
U+6832	栲
U+6833	栳
U+683B	栻
U+684B	桋
U+684F	桏
U+6816	栖
U+6831	栱
U+681C	栜
U+6835	栵
U+682B	栫
U+682D	栭
U+682F	栯
U+684E	桎
U+6844	桄
U+6834	栴
U+681D	栝
U+6818	栘
U+6812	栒
U+6841	桁
U+6814	栔
U+68A1	梡
U+6879	桹
U+6882	梂
U+6887	梇
U+6890	梐
U+689C	梜
U+686D	桭
U+686E	桮
U+68AE	梮
U+68AB	梫
U+6956	楖
U+686F	桯
U+68A3	梣
U+68AC	梬
U+68A9	梩
U+6875	桵
U+6874	桴
U+68B2	梲
U+688F	梏
U+6877	桷
U+6892	梒
U+687C	桼
U+690C	椌
U+68D3	棓
U+6904	椄
U+68DC	棜
U+692A	椪
U+68EC	棬
U+68EA	棪
U+68F1	棱
U+696E	楮
U+690F	椏
U+68D6	棖
U+68F7	棷
U+68EB	棫
U+68E4	棤
U+68F6	棶
U+6913	椓
U+6910	椐
U+68F3	棳
U+68E1	棡
U+6907	椇
U+68CC	棌
U+6908	椈
U+6970	楰
U+68B4	梴
U+6911	椑
U+68EF	棯
U+68C6	棆
U+6914	椔
U+68F8	棸
U+68D0	棐
U+68FD	棽
U+68FC	棼
U+68FB	棻
U+68E8	棨
U+6966	楦
U+695F	楟
U+6938	椸
U+694E	楎
U+6962	楢
U+6971	楱
U+693F	椿
U+6945	楅
U+695D	楝
U+696A	楪
U+6939	椹
U+6942	楂
U+6957	楗
U+6963	楣
U+6959	楙
U+697A	楺
U+6948	楈
U+695B	楛
U+6949	楉
U+6935	椵
U+696C	楬
U+6933	椳
U+693D	椽
U+6965	楥
U+68F0	棰
U+6978	楸
U+6934	椴
U+6969	楩
U+6940	楀
U+696F	楯
U+6944	楄
U+6976	楶
U+6958	楘
U+69B1	榱
U+69B6	榶
U+69C9	槉
U+69A0	榠
U+69CE	槎
U+6996	榖
U+69B0	榰
U+69AC	榬
U+69BC	榼
U+6991	榑
U+6999	榙
U+698E	榎
U+69A7	榧
U+698D	榍
U+69A9	榩
U+69BE	榾
U+69AF	榯
U+69BF	榿
U+69C4	槄
U+69BD	榽
U+69A4	榤
U+69D4	槔
U+69A6	榦
U+69B9	榹
U+69CA	槊
U+69C3	槃
U+6A00	樀
U+6A06	樆
U+6A17	樗
U+69E5	槥
U+69F8	槸
U+6A15	樕
U+69F1	槱
U+69E4	槤
U+6A20	樠
U+69FF	槿
U+69EC	槬
U+69ED	槭
U+69E2	槢
U+6A1B	樛
U+6A1D	樝
U+69FE	槾
U+6A27	樧
U+69F2	槲
U+69EE	槮
U+6A14	樔
U+69F7	槷
U+69E7	槧
U+6A40	橀
U+6A34	樴
U+6A66	橦
U+6A49	橉
U+6A67	橧
U+6A32	樲
U+6A48	橈
U+6A68	橨
U+6A3E	樾
U+6A5D	橝
U+6A6D	橭
U+6A76	橶
U+6A5B	橛
U+6A51	橑
U+6A28	樨
U+6A5A	橚
U+6A3B	樻
U+6A3F	樿
U+6A41	橁
U+6A6A	橪
U+6A64	橤
U+6A50	橐
U+6A8D	檍
U+6A96	檖
U+6A81	檁
U+6AA5	檥
U+6A89	檉
U+6A9F	檟
U+6AA3	檣
U+6A7E	橾
U+6A97	檗
U+6A9B	檛
U+6AA1	檡
U+6A9E	檞
U+6A90	檐
U+6A87	檇
U+6A93	檓
U+6A8E	檎
U+6A95	檕
U+6A83	檃
U+6AA0	檠
U+6AC5	櫅
U+6AB9	檹
U+6ABD	檽
U+6AAE	檮
U+6AAF	檯
U+6AE1	櫡
U+6AC6	櫆
U+6AE7	櫧
U+6AE0	櫠
U+6ACC	櫌
U+6AD1	櫑
U+6AD9	櫙
U+6ACB	櫋
U+6ADF	櫟
U+6ADC	櫜
U+6AD0	櫐
U+6AEB	櫫
U+6AF3	櫳
U+6AEC	櫬
U+6AF0	櫰
U+6AF8	櫸
U+6AEA	櫪
U+6AE8	櫨
U+6AF9	櫹
U+6AF1	櫱
U+6AFA	櫺
U+6B02	欂
U+6AFC	櫼
U+6B03	欃
U+6B0B	欋
U+6B08	欈
U+6B10	欐
U+6B11	欑
U+6B12	欒
U+6B18	欘
U+6B25	欥
U+6B28	欨
U+6B2C	欬
U+6B2F	欯
U+6B2D	欭
U+6B31	欱
U+6B34	欴
U+6B36	欶
U+6B33	欳
U+6B37	欷
U+6B38	欸
U+6B39	欹
U+6B3B	欻
U+6B3F	欿
U+6B46	歆
U+6B45	歅
U+6B43	歃
U+6B42	歂
U+6B48	歈
U+6B4A	歊
U+6B4D	歍
U+6B4B	歋
U+6B4E	歎
U+6B55	歕
U+6B54	歔
U+6B5C	歜
U+6B5B	歛
U+6B60	歠
U+6B6D	歭
U+6B80	殀
U+6B7E	歾
U+6B82	殂
U+6B84	殄
U+8082	肂
U+6B88	殈
U+6B91	殑
U+6B8F	殏
U+6B8D	殍
U+6B94	殔
U+6B97	殗
U+6B99	殙
U+6B9B	殛
U+6B9E	殞
U+6B9F	殟
U+6BA0	殠
U+6BA5	殥
U+6BA3	殣
U+6BA2	殢
U+6BA6	殦
U+6BA7	殧
U+6BAA	殪
U+6BAB	殫
U+6BAD	殭
U+6BB0	殰
U+6BB3	殳
U+6BB6	殶
U+6BBD	殽
U+55C0	嗀
U+6BC3	毃
U+6BC4	毄
U+6BC8	毈
U+6BC7	毇
U+6BC9	毉
U+6BCA	毊
U+6BCC	毌
U+6BD0	毐
U+6BD6	毖
U+6BD8	毘
U+6BDA	毚
U+6BDE	毞
U+6BE6	毦
U+6BE4	毤
U+6BE8	毨
U+6BE3	毣
U+6BEC	毬
U+6BF0	毰
U+6BF2	毲
U+6BF3	毳
U+6BFB	毻
U+6BFC	毼
U+6BF9	毹
U+6BFE	毾
U+6C01	氁
U+6C00	氀
U+6BFF	毿
U+6C02	氂
U+6C04	氄
U+6C05	氅
U+6C08	氈
U+6C0D	氍
U+6C14	气
U+6C15	氕
U+6C18	氘
U+6C19	氙
U+6C1A	氚
U+6C20	氠
U+6C2A	氪
U+6C30	氰
U+6C2C	氬
U+6C36	氶
U+6C43	汃
U+6C3F	氿
U+6C46	汆
U+6C52	汒
U+6C61	污
U+6C5C	汜
U+6C4F	汏
U+6C4A	汊
U+6C5B	汛
U+6C4D	汍
U+6C54	汔
U+6C4E	汎
U+6C4B	汋
U+6C74	汴
U+6C86	沆
U+6C78	汸
U+6C76	汶
U+6C67	汧
U+6C6B	汫
U+6C84	沄
U+6C8D	沍
U+6C8B	沋
U+6C8F	沏
U+6C94	沔
U+6C98	沘
U+6C71	汱
U+6C6F	汯
U+6C69	汩
U+6C9A	沚
U+6C6D	汭
U+6C87	沇
U+6C95	沕
U+6C9C	沜
U+6C66	汦
U+6C82	沂
U+6C73	汳
U+6C93	沓
U+6CEC	泬
U+6CEB	泫
U+6CEE	泮
U+6CD9	泙
U+6CB6	沶
U+6CAC	沬
U+6CD4	泔
U+6CAD	沭
U+6CE7	泧
U+6CB7	沷
U+6CEF	泯
U+6CD0	泐
U+6CC2	泂
U+6CBA	沺
U+6CC3	泃
U+6CC6	泆
U+6CED	泭
U+6CDC	泜
U+6CF2	泲
U+6CD2	泒
U+6CD6	泖
U+6CDD	泝
U+6CE0	泠
U+6CB4	沴
U+6CF5	泵
U+6D28	洨
U+6D34	洴
U+6D2D	洭
U+6D1F	洟
U+6D39	洹
U+6D3C	洼
U+6D3F	洿
U+6D12	洒
U+6D27	洧
U+6D0A	洊
U+6CDA	泚
U+6D38	洸
U+6D33	洳
U+6D29	洩
U+6D04	洄
U+6D2E	洮
U+6D19	洙
U+6D3A	洺
U+6D35	洵
U+6D1A	洚
U+6D0E	洎
U+6D2B	洫
U+6D11	洑
U+6D00	洀
U+6D7A	浺
U+6D63	浣
U+6D64	浤
U+6D76	浶
U+6D0D	洍
U+6D8C	涌
U+6D61	浡
U+6D92	涒
U+6D58	浘
U+6D62	浢
U+6D6D	浭
U+6D6F	浯
U+6D91	涑
U+6D8D	涍
U+6D8A	涊
U+6DEF	淯
U+6D79	浹
U+6D85	涅
U+6D7F	浿
U+6D86	涆
U+6D65	浥
U+6D5E	浞
U+6D67	浧
U+6D94	涔
U+6D60	浠
U+6D97	涗
U+6D70	浰
U+6D7C	浼
U+6D5F	浟
U+6D82	涂
U+6D98	涘
U+6DC0	淀
U+6DAB	涫
U+6DB4	涴
U+6DB3	涳
U+6DAA	涪
U+6DEC	淬
U+6E74	湴
U+6DAC	涬
U+6DE9	淩
U+6DE2	淢
U+6DB7	涷
U+6DF6	淶
U+6DD4	淔
U+6DBF	涿
U+6E00	渀
U+6DC8	淈
U+6DE0	淠
U+6DDF	淟
U+6DD6	淖
U+6DBE	涾
U+6DE5	淥
U+6DDC	淜
U+6DDD	淝
U+6DDB	淛
U+6DF4	淴
U+6DCA	淊
U+6DBD	涽
U+6DED	淭
U+6DF0	淰
U+6DE6	淦
U+6DFC	淼
U+6E46	湆
U+6E47	湇
U+6E1F	渟
U+6E49	湉
U+6E88	溈
U+6E3C	渼
U+6E3D	渽
U+6E45	湅
U+6E62	湢
U+6E2B	渫
U+6E3F	渿
U+6E41	湁
U+6E5D	湝
U+6E73	湳
U+6E4E	湎
U+6E1C	渜
U+6E33	渳
U+6E63	湣
U+6E44	湄
U+6E4B	湋
U+6E40	湀
U+6E51	湑
U+6E3B	渻
U+6E03	渃
U+6E2E	渮
U+6E5E	湞
U+6E68	湨
U+6E5C	湜
U+6E61	湡
U+6E31	渱
U+6E28	渨
U+6E60	湠
U+6E72	湲
U+6E71	湱
U+6E69	湩
U+6E6B	湫
U+6E39	渹
U+6E22	渢
U+6E5F	湟
U+6E30	渰
U+6E53	湓
U+6E9B	溛
U+6ED6	滖
U+6EC8	滈
U+6E8F	溏
U+6EC0	滀
U+6E9F	溟
U+6E93	溓
U+6E94	溔
U+6EA0	溠
U+6EB1	溱
U+6EB9	溹
U+6EC6	滆
U+6ED2	滒
U+6EA7	溧
U+6EBD	溽
U+6EC1	滁
U+6E9E	溞
U+6EC9	滉
U+6EB7	溷
U+6EB0	溰
U+6ECD	滍
U+6EA6	溦
U+6ECF	滏
U+6EB2	溲
U+6EB4	溴
U+6EBE	溾
U+6EC3	滃
U+6EDC	滜
U+6ED5	滕
U+6ECE	滎
U+6EF5	滵
U+6EF1	滱
U+6F03	漃
U+6F25	漥
U+6EF8	滸
U+6F37	漷
U+6EFB	滻
U+6F2E	漮
U+6F09	漉
U+6F4E	潎
U+6F19	漙
U+6F1A	漚
U+6F27	漧
U+6F41	潁
U+6F18	漘
U+6F3B	漻
U+6F12	漒
U+6EED	滭
U+6F0A	漊
U+6F36	漶
U+6F73	潳
U+6EF9	滹
U+6EEE	滮
U+6F2D	漭
U+6EF7	滷
U+6F40	潀
U+6F30	漰
U+6F3C	漼
U+6F35	漵
U+6EEB	滫
U+6F07	漇
U+6F0E	漎
U+6F43	潃
U+6F05	漅
U+6F26	漦
U+6F7E	潾
U+6F87	澇
U+6FC6	濆
U+6F92	澒
U+6F8D	澍
U+6F89	澉
U+6F8C	澌
U+6F62	潢
U+6F4F	潏
U+6F85	澅
U+6F6F	潯
U+6F5A	潚
U+6F60	潠
U+6F96	澖
U+6F76	潶
U+6F6C	潬
U+6F82	澂
U+6F55	潕
U+6F72	潲
U+6F52	潒
U+6F50	潐
U+6F57	潗
U+6F5F	潟
U+6F94	澔
U+6F93	澓
U+6F5D	潝
U+6FB6	澶
U+6FAD	澭
U+6FCB	濋
U+6FA3	澣
U+6FC7	濇
U+6FA6	澦
U+6FBC	澼
U+6FCE	濎
U+6FC8	濈
U+6FA0	澠
U+6F5E	潞
U+6FC4	濄
U+6FBD	澽
U+6F9E	澞
U+6FCA	濊
U+6FB4	澴
U+6FA8	澨
U+7004	瀄
U+6FA5	澥
U+6FAE	澮
U+6FCC	濌
U+6FA9	澩
U+6FF4	濴
U+6FD4	濔
U+6FE3	濣
U+6FDC	濜
U+6FED	濭
U+6FE9	濩
U+6FD5	濕
U+6FE7	濧
U+6FE6	濦
U+6FDE	濞
U+6FEE	濮
U+6FF0	濰
U+7007	瀇
U+700C	瀌
U+700D	瀍
U+7001	瀁
U+7005	瀅
U+7014	瀔
U+700E	瀎
U+6FFF	濿
U+7000	瀀
U+6FFB	濻
U+7026	瀦
U+6FFC	濼
U+7019	瀙
U+7027	瀧
U+7020	瀠
U+7016	瀖
U+702B	瀫
U+7021	瀡
U+7022	瀢
U+7018	瀘
U+7023	瀣
U+7029	瀩
U+703C	瀼
U+7035	瀵
U+702F	瀯
U+7037	瀷
U+7034	瀴
U+7031	瀱
U+7042	灂
U+7038	瀸
U+703F	瀿
U+703A	瀺
U+7032	瀲
U+7039	瀹
U+7043	灃
U+7044	灄
U+704A	灊
U+7048	灈
U+7049	灉
U+7055	灕
U+7056	灖
U+7057	灗
U+705B	灛
U+705E	灞
U+705F	灟
U+7061	灡
U+705D	灝
U+7068	灨
U+7069	灩
U+706A	灪
U+7094	炔
U+7098	炘
U+7085	炅
U+70B7	炷
U+70A4	炤
U+709F	炟
U+70BE	炾
U+70B1	炱
U+70B0	炰
U+70DC	烜
U+70D3	烓
U+70D1	烑
U+70DD	烝
U+70CB	烋
U+7F39	缹
U+70FA	烺
U+710D	焍
U+70F7	烷
U+7117	焗
U+70F4	烴
U+710C	焌
U+70EF	烯
U+70F0	烰
U+7104	焄
U+7120	焠
U+711E	焞
U+712F	焯
U+711C	焜
U+70FB	烻
U+712E	焮
U+7131	焱
U+7123	焣
U+7147	煇
U+7154	煔
U+7152	煒
U+7146	煆
U+7163	煣
U+7160	煠
U+7141	煁
U+715D	煝
U+7168	煨
U+7156	煖
U+7162	煢
U+7172	煲
U+7187	熇
U+7190	熐
U+7189	熉
U+7180	熀
U+7185	熅
U+7182	熂
U+7192	熒
U+718F	熏
U+71B2	熲
U+71AF	熯
U+719B	熛
U+71B0	熰
U+71A0	熠
U+719A	熚
U+71C5	燅
U+71C2	燂
U+71BF	熿
U+71B8	熸
U+71D6	燖
U+71C0	燀
U+71C1	燁
U+71CB	燋
U+71D4	燔
U+71CA	燊
U+71E1	燡
U+71E0	燠
U+71FC	燼
U+7201	爁
U+71FF	燿
U+71FE	燾
U+71F9	燹
U+720C	爌
U+720A	爊
U+7207	爇
U+7202	爂
U+7213	爓
U+721D	爝
U+721A	爚
U+721E	爞
U+721F	爟
U+7222	爢
U+7223	爣
U+7241	牁
U+7242	牂
U+7244	牄
U+7249	牉
U+724B	牋
U+724F	牏
U+7253	牓
U+725A	牚
U+7263	牣
U+726C	牬
U+7270	牰
U+7278	牸
U+7277	牷
U+727E	牾
U+727B	牻
U+727C	牼
U+727F	牿
U+7288	犈
U+7289	犉
U+7286	犆
U+7285	犅
U+728D	犍
U+728C	犌
U+7291	犑
U+7290	犐
U+728E	犎
U+7297	犗
U+7295	犕
U+7293	犓
U+7298	犘
U+729A	犚
U+729D	犝
U+729E	犞
U+72A5	犥
U+72A6	犦
U+72A4	犤
U+72A3	犣
U+72A9	犩
U+72A8	犨
U+72AA	犪
U+72AE	犮
U+72B0	犰
U+72B4	犴
U+72B5	犵
U+72BF	犿
U+72BD	犽
U+72C3	狃
U+72C6	狆
U+72C1	狁
U+72D6	狖
U+72CB	狋
U+72D8	狘
U+72C9	狉
U+72DC	狜
U+72D2	狒
U+72D4	狔
U+72DA	狚
U+72CC	狌
U+72D1	狑
U+72CA	狊
U+72E4	狤
U+72E8	狨
U+72EB	狫
U+72DF	狟
U+72EA	狪
U+72E6	狦
U+72E3	狣
U+7300	猀
U+72FA	狺
U+72F4	狴
U+72FE	狾
U+72F6	狶
U+72F3	狳
U+72FB	狻
U+731D	猝
U+7317	猗
U+7307	猇
U+7311	猑
U+7312	猒
U+7318	猘
U+730A	猊
U+7308	猈
U+72FF	狿
U+730F	猏
U+730B	猋
U+7330	猰
U+7322	猢
U+7331	猱
U+7333	猳
U+7327	猧
U+7332	猲
U+732D	猭
U+7326	猦
U+7323	猣
U+7335	猵
U+733C	猼
U+7342	獂
U+733B	猻
U+7343	獃
U+733A	猺
U+7340	獀
U+734A	獊
U+734D	獍
U+7351	獑
U+734C	獌
U+7358	獘
U+7352	獒
U+735E	獞
U+735F	獟
U+7360	獠
U+735D	獝
U+735B	獛
U+7361	獡
U+7369	獩
U+7366	獦
U+7367	獧
U+736C	獬
U+7365	獥
U+736B	獫
U+736A	獪
U+7373	獳
U+736E	獮
U+736F	獯
U+7376	獶
U+737D	獽
U+737C	獼
U+737E	獾
U+737F	獿
U+7382	玂
U+7381	玁
U+7383	玃
U+7385	玅
U+7386	玆
U+7388	玈
U+738A	玊
U+738E	玎
U+7395	玕
U+7397	玗
U+7393	玓
U+7394	玔
U+73A4	玤
U+73A1	玡
U+73AD	玭
U+73A6	玦
U+73A2	玢
U+73A0	玠
U+73CC	珌
U+73C2	珂
U+73C8	珈
U+73C5	珅
U+73D3	珓
U+73EA	珪
U+73D9	珙
U+73E5	珥
U+73D6	珖
U+73BC	玼
U+73E7	珧
U+73E3	珣
U+73DE	珞
U+73E9	珩
U+73F6	珶
U+73F8	珸
U+73F5	珵
U+7404	琄
U+7401	琁
U+73FD	珽
U+7407	琇
U+7400	琀
U+742E	琮
U+742F	琯
U+742C	琬
U+741B	琛
U+7430	琰
U+742B	琫
U+7416	琖
U+7426	琦
U+741A	琚
U+7421	琡
U+7428	琨
U+742D	琭
U+7431	琱
U+7424	琤
U+7444	瑄
U+744A	瑊
U+744B	瑋
U+7452	瑒
U+7451	瑑
U+7457	瑗
U+7440	瑀
U+7462	瑢
U+7473	瑳
U+7471	瑱
U+7475	瑵
U+7472	瑲
U+7487	璇
U+7489	璉
U+748A	璊
U+747E	瑾
U+7486	璆
U+7480	璀
U+7481	璁
U+747D	瑽
U+7485	璅
U+747F	瑿
U+7498	璘
U+749A	璚
U+749F	璟
U+749E	璞
U+74A0	璠
U+7497	璗
U+74B2	璲
U+74AB	璫
U+74A8	璨
U+7490	璐
U+74AA	璪
U+74B8	璸
U+74C0	瓀
U+74B5	璵
U+74BF	璿
U+74C1	瓁
U+74CB	瓋
U+74BA	璺
U+74C5	瓅
U+74D6	瓖
U+74D4	瓔
U+74D8	瓘
U+74DA	瓚
U+74DB	瓛
U+74DD	瓝
U+74DE	瓞
U+74DF	瓟
U+74E1	瓡
U+74E4	瓤
U+74E5	瓥
U+74E8	瓨
U+74EC	瓬
U+74EE	瓮
U+74F4	瓴
U+74F5	瓵
U+74FF	瓿
U+74FE	瓾
U+74FD	瓽
U+7500	甀
U+7502	甂
U+7503	甃
U+7508	甈
U+750B	甋
U+750D	甍
U+7510	甐
U+7511	甑
U+7512	甒
U+7514	甔
U+7513	甓
U+7516	甖
U+7517	甗
U+751D	甝
U+7521	甡
U+752A	甪
U+752F	甯
U+752E	甮
U+753A	町
U+7539	甹
U+753F	甿
U+7540	畀
U+753E	甾
U+754E	畎
U+754B	畋
U+7547	畇
U+755B	畛
U+755F	畟
U+7564	畤
U+7563	畣
U+756F	畯
U+756C	畬
U+7579	畹
U+7577	畷
U+757D	畽
U+757F	畿
U+7580	疀
U+758C	疌
U+7590	疐
U+7594	疔
U+7595	疕
U+75A2	疢
U+75A3	疣
U+75A7	疧
U+75B0	疰
U+75C2	痂
U+75C1	痁
U+75BB	疻
U+75B8	疸
U+75C4	痄
U+75C0	痀
U+75CE	痎
U+75D2	痒
U+75CD	痍
U+75CF	痏
U+75CB	痋
U+75CC	痌
U+75D1	痑
U+75E7	痧
U+75DA	痚
U+75E1	痡
U+75E6	痦
U+75DD	痝
U+75DF	痟
U+75E4	痤
U+75D7	痗
U+75E0	痠
U+75EF	痯
U+760F	瘏
U+75F3	痳
U+7603	瘃
U+75F7	痷
U+75FE	痾
U+75FC	痼
U+75F9	痹
U+75F8	痸
U+7610	瘐
U+75FB	痻
U+7616	瘖
U+7608	瘈
U+760C	瘌
U+7615	瘕
U+7611	瘑
U+760A	瘊
U+7625	瘥
U+761E	瘞
U+7619	瘙
U+761D	瘝
U+7622	瘢
U+761C	瘜
U+7623	瘣
U+762F	瘯
U+762D	瘭
U+7631	瘱
U+763D	瘽
U+7633	瘳
U+763A	瘺
U+763C	瘼
U+7635	瘵
U+7632	瘲
U+7643	癃
U+7648	癈
U+7649	癉
U+7647	癇
U+765C	癜
U+7664	癤
U+7659	癙
U+7650	癐
U+7653	癓
U+7660	癠
U+765F	癟
U+766A	癪
U+766D	癭
U+7670	癰
U+7675	癵
U+7679	癹
U+7681	皁
U+768A	皊
U+768B	皋
U+768F	皏
U+7695	皕
U+7699	皙
U+769C	皜
U+769D	皝
U+769E	皞
U+769B	皛
U+76A4	皤
U+76A6	皦
U+76AB	皫
U+76AD	皭
U+76AF	皯
U+76B5	皵
U+76B8	皸
U+76BB	皻
U+76BD	皽
U+76BE	皾
U+76C4	盄
U+76C5	盅
U+76C9	盉
U+76D3	盓
U+76DD	盝
U+76E6	盦
U+76E9	盩
U+76EC	盬
U+76ED	盭
U+76F3	盳
U+76F1	盱
U+7708	眈
U+7703	眃
U+7704	眄
U+7705	眅
U+7707	眇
U+770A	眊
U+76F7	盷
U+76FB	盻
U+771D	眝
U+771B	眛
U+7710	眐
U+7713	眓
U+7712	眒
U+7723	眣
U+7711	眑
U+7715	眕
U+7719	眙
U+771A	眚
U+7722	眢
U+7739	眹
U+772F	眯
U+772D	眭
U+7731	眱
U+7732	眲
U+7734	眴
U+7733	眳
U+773D	眽
U+7725	眥
U+7746	睆
U+7747	睇
U+7744	睄
U+774D	睍
U+7745	睅
U+774A	睊
U+774E	睎
U+774B	睋
U+774C	睌
U+7755	睕
U+775F	睟
U+7760	睠
U+7752	睒
U+7756	睖
U+775A	睚
U+7769	睩
U+7762	睢
U+7767	睧
U+7754	睔
U+7781	瞁
U+777C	睼
U+7785	瞅
U+7782	瞂
U+776E	睮
U+7780	瞀
U+776F	睯
U+777E	睾
U+778B	瞋
U+778D	瞍
U+778F	瞏
U+7789	瞉
U+779A	瞚
U+779D	瞝
U+77A1	瞡
U+779C	瞜
U+779B	瞛
U+77A2	瞢
U+77B5	瞵
U+77AB	瞫
U+77B2	瞲
U+77B7	瞷
U+77B6	瞶
U+77B4	瞴
U+77C2	矂
U+77BC	瞼
U+77C9	矉
U+77CA	矊
U+77CC	矌
U+77CE	矎
U+77CF	矏
U+77CD	矍
U+77D0	矐
U+77D4	矔
U+77D5	矕
U+77D8	矘
U+77D9	矙
U+77DE	矞
U+77E0	矠
U+77E7	矧
U+77EC	矬
U+77F0	矰
U+77F1	矱
U+77F2	矲
U+77F8	矸
U+77FC	矼
U+77F9	矹
U+77FB	矻
U+77FA	矺
U+7806	砆
U+7811	砑
U+7812	砒
U+7805	砅
U+7810	砐
U+780F	砏
U+780E	砎
U+7809	砉
U+7823	砣
U+782C	砬
U+7822	砢
U+7835	砵
U+7820	砠
U+782F	砯
U+781F	砟
U+7832	砲
U+7828	砨
U+782E	砮
U+784E	硎
U+7848	硈
U+7852	硒
U+7849	硉
U+784D	硍
U+784A	硊
U+784C	硌
U+7826	砦
U+7860	硠
U+7864	硤
U+7865	硥
U+785C	硜
U+786D	硭
U+7871	硱
U+786A	硪
U+786E	确
U+7870	硰
U+7869	硩
U+7887	碇
U+789A	碚
U+7894	碔
U+788F	碏
U+7884	碄
U+7895	碕
U+7885	碅
U+7893	碓
U+7886	碆
U+78B2	碲
U+78AA	碪
U+78B4	碴
U+78AD	碭
U+78A3	碣
U+78A8	碨
U+787E	硾
U+78AB	碫
U+789E	碞
U+78CD	磍
U+78BB	碻
U+78CF	磏
U+78CC	磌
U+78D1	磑
U+78CE	磎
U+78D4	磔
U+78C8	磈
U+78C3	磃
U+78DD	磝
U+78E7	磧
U+78E9	磩
U+78E5	磥
U+78EA	磪
U+78DE	磞
U+78E3	磣
U+78DB	磛
U+78F3	磳
U+78FD	磽
U+7902	礂
U+78FB	磻
U+78FC	磼
U+78FF	磿
U+790C	礌
U+7913	礓
U+7914	礔
U+7909	礉
U+7910	礐
U+791D	礝
U+791B	礛
U+7934	礴
U+791C	礜
U+7925	礥
U+7923	礣
U+7927	礧
U+7928	礨
U+792D	礭
U+7931	礱
U+7935	礵
U+793D	礽
U+7942	祂
U+793F	礿
U+794A	祊
U+794C	祌
U+794B	祋
U+7945	祅
U+7954	祔
U+795B	祛
U+794F	祏
U+795C	祜
U+7953	祓
U+7952	祒
U+7951	祑
U+7964	祤
U+7967	祧
U+7969	祩
U+796A	祪
U+7963	祣
U+796B	祫
U+7961	祡
U+7974	祴
U+7973	祳
U+7972	祲
U+797C	祼
U+7982	禂
U+7998	禘
U+798A	禊
U+798B	禋
U+7996	禖
U+7995	禕
U+7994	禔
U+7993	禓
U+7997	禗
U+799A	禚
U+79A1	禡
U+79A0	禠
U+799C	禜
U+79AB	禫
U+79A8	禨
U+79AD	禭
U+79AC	禬
U+79B0	禰
U+79B4	禴
U+79B3	禳
U+79B7	禷
U+79B8	禸
U+79BA	禺
U+79BB	离
U+6B76	歶
U+79C8	秈
U+79C5	秅
U+79D5	秕
U+79CD	种
U+79CF	秏
U+79D6	秖
U+79CE	秎
U+79D8	秘
U+79EB	秫
U+79EC	秬
U+79E0	秠
U+79EE	秮
U+79ED	秭
U+79EA	秪
U+79FA	秺
U+79F8	秸
U+79F6	秶
U+7A02	稂
U+7A0A	稊
U+7A03	稃
U+7A0C	稌
U+7A11	稑
U+7A18	稘
U+7A19	稙
U+7A1E	稞
U+7A12	稒
U+7A17	稗
U+7A2B	稫
U+7A4A	穊
U+7A30	稰
U+7A2F	稯
U+7A39	稹
U+7A4B	穋
U+7A44	穄
U+7A48	穈
U+7A5C	穜
U+7A5B	穛
U+7A56	穖
U+7A5F	穟
U+7A60	穠
U+7A67	穧
U+7A68	穨
U+7A6E	穮
U+7A6C	穬
U+7A6D	穭
U+7A70	穰
U+7A71	穱
U+7A78	穸
U+7A80	窀
U+7A7E	穾
U+7A86	窆
U+7A89	窉
U+7A85	窅
U+7A8B	窋
U+7A8C	窌
U+7A8A	窊
U+7A8F	窏
U+7A94	窔
U+7A90	窐
U+7A99	窙
U+7AA3	窣
U+7AA2	窢
U+7A9E	窞
U+7AA8	窨
U+7AAB	窫
U+7AAC	窬
U+7AB2	窲
U+7AB4	窴
U+7AB1	窱
U+7AB3	窳
